,name,affiliations,author_id,cited_by,interests
0,David La Barbera,Università Degli Studi Di Udine,MvN8wKEAAAAJ,138,Computer Science
1,Michael Soprano,Postdoctoral Research Fellow at the University of Udine,ocK0qRUAAAAJ,206,"Computer Science, Crowdsourcing"
2,Kevin Roitero,University of Udine,1xd52jMAAAAJ,688,"Artificial Intelligence, Crowdsourcing and Human Computation, Information Retrieval"
3,Stefano Mizzaro,Full professor of Computer Science and Information Technology,2wvJC6IAAAAJ,4732,"Information retrieval, mobile systems, scholarly publishing, crowdsourcing, misinformation and fake news detection"
4,Damiano Spina,School of Computing Technolgies RMIT University,sLzYrNYAAAAJ,2480,"Information Retrieval, Text Analytics, Data Science, Evaluation, Human-AI Fact-checking"
5,Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5339,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
6,Eddy Maddalena,Università Degli Studi Di Udine,egHDpFkAAAAJ,553,"Information Retrieval, Crowdsourcing, Data Science, Human Computation, Web science"
7,Kevin Roitero,University of Udine,1xd52jMAAAAJ,688,"Artificial Intelligence, Crowdsourcing and Human Computation, Information Retrieval"
8,Stefano Mizzaro,Full professor of Computer Science and Information Technology,2wvJC6IAAAAJ,4732,"Information retrieval, mobile systems, scholarly publishing, crowdsourcing, misinformation and fake news detection"
9,Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5339,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
10,Damiano Spina,"School of Computing Technologies, RMIT University",sLzYrNYAAAAJ,2480,"Information Retrieval, Text Analytics, Data Science, Evaluation, Human-AI Fact-checking"
11,Michael Soprano,Postdoctoral Research Fellow at the University of Udine,ocK0qRUAAAAJ,206,"Computer Science, Crowdsourcing"
12,Vincenzo Della Mea,"Associate Professor of Medical Informatics, University of Udine",BF3B4KAAAAAJ,2878,"medical informatics, telemedicine, digital pathology, biomedical classifications and ontologies"
13,Davide Ceolin,"Tenured Researcher, CWI Amsterdam",y8Jy518AAAAJ,493,"Information Quality, Trust, Semantic Web, Probabilistic Logic, Provenance"
14,Tim Draws,OTTO,UTMHOZMAAAAJ,1196,"Human-Computer Interaction, Web Search, Research Methods"
15,Joel Mackenzie,The University of Queensland,3jQ1Zh4AAAAJ,640,"Information Retrieval, Web Search, Algorithms, Information Systems"
16,Kevin Roitero,University of Udine,1xd52jMAAAAJ,688,"Artificial Intelligence, Crowdsourcing and Human Computation, Information Retrieval"
17,Stefano Mizzaro,Full professor of Computer Science and Information Technology,2wvJC6IAAAAJ,4732,"Information retrieval, mobile systems, scholarly publishing, crowdsourcing, misinformation and fake news detection"
18,Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5339,"Information Retrieval, Semantic Web, Human Computation, Crowdsourcing"
19,Damiano Spina,"School of Computing Technologies, RMIT University",sLzYrNYAAAAJ,2480,"Information Retrieval, Text Analytics, Data Science, Evaluation, Human-AI Fact-checking"
20,Davide Ceolin,"Tenured Researcher, CWI Amsterdam",y8Jy518AAAAJ,493,"Information Quality, Trust, Semantic Web, Probabilistic Logic, Provenance"
21,David La Barbera,Università Degli Studi Di Udine,MvN8wKEAAAAJ,138,Computer Science
22,Vincenzo Della Mea,"Associate Professor of Medical Informatics, University of Udine",BF3B4KAAAAAJ,2878,"medical informatics, telemedicine, digital pathology, biomedical classifications and ontologies"
23,Beatrice Portelli,University of Udine,HQZd6wsAAAAJ,143,
24,Giuseppe Serra,"Associate Professor of Computer Science, University of Udine",xz1J-xQAAAAJ,5317,"Machine Learning, Artificial Intelligence, Multimedia, NLP, Multimedia Forensics"
25,Shaoyang Fan,The University of Queensland,uF87D5kAAAAJ,79,"Crowdsourcing, Human computation, Information Retrieval, Data Mining"
26,Giuseppe Primiero,"Department of Philosophy, University of Milan",srKA534AAAAJ,1115,"Logic, Philosophy of Computer Science"
27,Jan Wielemaker,"Researcher in Computer Science, VU University Amsterdam",7J1vJdEAAAAJ,5050,"Logic programming, Semantic web"
28,Tim Draws,OTTO,UTMHOZMAAAAJ,1196,"Human-Computer Interaction, Web Search, Research Methods"
29,Alessandro Checco,Computer Science Department - University of Rome La Sapienza,crhkrNcAAAAJ,896,"Human Computation, Crowdsourcing, Graph Theory, Markov Chains, Wireless Networks"
30,Afshin Rahimi,Applied Scientist @ Amazon,WhPw2I0AAAAJ,1282,Natural Language Processing
